ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3467749,HK516792,07/26/2004 02:05:00 PM,032XX N BROADWAY,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,True,False,2332,19.0,44.0,6.0,18,1171683.0,1921618.0,2004,02/28/2018 03:56:25 PM,41.940381407,-87.64441119,"(41.940381407, -87.64441119)"
13160039,JG364176,08/01/2023 12:42:00 AM,085XX S DANTE AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,RESIDENCE,False,False,412,4.0,8.0,45.0,15,1187360.0,1848549.0,2023,08/19/2023 03:40:26 PM,41.739516057,-87.589120794,"(41.739516057, -87.589120794)"
10009460,HY198931,03/22/2015 12:00:00 AM,0000X E JACKSON BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"SCHOOL, PUBLIC, BUILDING",False,False,113,1.0,2.0,32.0,26,1176659.0,1899008.0,2015,02/10/2018 03:50:01 PM,41.878227412,-87.626807395,"(41.878227412, -87.626807395)"
12542806,JE447462,11/10/2021 10:21:00 AM,061XX N LINCOLN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1711,17.0,50.0,13.0,06,1152804.0,1941021.0,2021,11/17/2021 03:41:31 PM,41.994019837,-87.713281946,"(41.994019837, -87.713281946)"
5435079,HN268897,04/05/2007 03:00:00 PM,050XX W SCHUBERT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,False,False,2521,25.0,31.0,19.0,06,1142289.0,1917486.0,2007,02/28/2018 03:56:25 PM,41.929640199,-87.752547764,"(41.929640199, -87.752547764)"
7531007,HS334656,05/30/2010 01:15:00 PM,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,833,8.0,13.0,65.0,06,1145727.0,1853720.0,2010,02/10/2018 03:50:01 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
3844577,HL218454,03/06/2005 12:05:00 AM,094XX S HAMILTON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2221,22.0,19.0,72.0,06,1163683.0,1842107.0,2005,02/28/2018 03:56:25 PM,41.722367328,-87.676049735,"(41.722367328, -87.676049735)"
6198953,HP287246,04/18/2008 05:00:00 PM,062XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,713,7.0,16.0,67.0,14,1167403.0,1863341.0,2008,02/28/2018 03:56:25 PM,41.780557623,-87.661816802,"(41.780557623, -87.661816802)"
7078349,HR486354,08/16/2009 04:30:00 AM,003XX S HALSTED ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,True,False,1213,12.0,27.0,28.0,04B,1171105.0,1898526.0,2009,02/28/2018 03:56:25 PM,41.877028422,-87.647214401,"(41.877028422, -87.647214401)"
10399732,HZ136625,01/27/2016 02:30:00 PM,098XX S DORCHESTER AVE,0810,THEFT,OVER $500,WAREHOUSE,False,False,511,5.0,8.0,50.0,06,1187078.0,1839799.0,2016,02/10/2018 03:50:01 PM,41.715511802,-87.590430663,"(41.715511802, -87.590430663)"
3146391,HK131645,01/17/2004 11:36:54 PM,035XX N SHEFFIELD AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2331,19.0,44.0,6.0,06,1168975.0,1923778.0,2004,02/28/2018 03:56:25 PM,41.946367827,-87.654301051,"(41.946367827, -87.654301051)"
9521375,HX175992,03/07/2014 03:00:00 PM,052XX S MAY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,934,9.0,16.0,61.0,08A,1169543.0,1870010.0,2014,09/23/2025 03:41:47 PM,41.798812004,-87.653777929,"(41.798812004, -87.653777929)"
9779701,HX429840,09/15/2014 08:30:00 PM,002XX W 108TH PL,0820,THEFT,$500 AND UNDER,STREET,False,False,513,5.0,34.0,49.0,06,1176646.0,1832992.0,2014,02/10/2018 03:50:01 PM,41.697073088,-87.628841278,"(41.697073088, -87.628841278)"
9568966,HX219378,04/11/2014 10:00:00 AM,015XX W CERMAK RD,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",True,False,1235,12.0,25.0,31.0,08B,1166511.0,1889503.0,2014,02/04/2016 06:33:39 AM,41.852368074,-87.664340305,"(41.852368074, -87.664340305)"
6207538,HP295868,04/23/2008 07:30:00 AM,083XX S PAXTON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,412,4.0,8.0,46.0,06,1192298.0,1850145.0,2008,02/28/2018 03:56:25 PM,41.743777018,-87.570977259,"(41.743777018, -87.570977259)"
5657514,HN465199,07/14/2007 02:00:00 AM,042XX W FILLMORE ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,1132,11.0,24.0,29.0,08A,1148243.0,1895030.0,2007,09/07/2021 03:41:02 PM,41.867905823,-87.731247374,"(41.867905823, -87.731247374)"
12447070,JE330434,08/07/2021 01:30:00 AM,008XX W NELSON ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,1933,19.0,44.0,6.0,08B,1169876.0,1920458.0,2021,08/14/2021 03:40:38 PM,41.937237975,-87.651086409,"(41.937237975, -87.651086409)"
6886177,HR286157,04/25/2009 12:30:00 AM,079XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,624,6.0,6.0,44.0,08B,1180620.0,1852479.0,2009,02/28/2018 03:56:25 PM,41.750457714,-87.613694407,"(41.750457714, -87.613694407)"
8382050,HT611763,11/30/2011 10:30:00 AM,004XX N ST LOUIS AVE,0810,THEFT,OVER $500,OTHER,False,False,1123,11.0,27.0,23.0,06,1152975.0,1902645.0,2011,02/04/2016 06:33:39 AM,41.888709801,-87.713673374,"(41.888709801, -87.713673374)"
6584424,HP656743,10/30/2008 08:00:00 PM,023XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,True,False,134,1.0,3.0,33.0,18,1176681.0,1888910.0,2008,02/10/2018 03:50:01 PM,41.850517353,-87.627031661,"(41.850517353, -87.627031661)"
8434634,HV112696,01/10/2012 03:30:00 AM,062XX S MOZART ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,823,8.0,15.0,66.0,14,1158449.0,1863219.0,2012,02/10/2018 03:50:01 PM,41.780410029,-87.694647266,"(41.780410029, -87.694647266)"
8192332,HT426581,05/10/2011 06:00:00 AM,054XX W BERTEAU AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1624,16.0,38.0,15.0,11,1139389.0,1927394.0,2011,02/10/2018 03:50:01 PM,41.956882145,-87.762962337,"(41.956882145, -87.762962337)"
8581465,HV255746,04/24/2012 09:00:00 AM,095XX S HARVARD AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,511,5.0,21.0,49.0,08B,1175628.0,1841630.0,2012,02/04/2016 06:33:39 AM,41.720799777,-87.632311118,"(41.720799777, -87.632311118)"
12538943,JE442692,11/12/2021 12:40:00 PM,027XX W MARQUETTE RD,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,831,8.0,17.0,66.0,04A,1159044.0,1860098.0,2021,11/19/2021 03:40:30 PM,41.771833409,-87.692551138,"(41.771833409, -87.692551138)"
9154847,HW300399,06/01/2013 08:00:00 AM,024XX S DRAKE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,1024,10.0,22.0,30.0,08A,1153087.0,1887648.0,2013,02/10/2018 03:50:01 PM,41.847554154,-87.713659632,"(41.847554154, -87.713659632)"
8834536,HV507088,10/06/2012 02:20:00 PM,072XX S COTTAGE GROVE AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,True,False,323,3.0,6.0,69.0,18,1182813.0,1857157.0,2012,02/10/2018 03:50:01 PM,41.763244014,-87.605513295,"(41.763244014, -87.605513295)"
1417860,G138789,03/10/2001 05:30:00 PM,069XX S STATE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,322,3.0,,,06,1177453.0,1859247.0,2001,08/17/2015 03:03:40 PM,41.769101977,-87.625095493,"(41.769101977, -87.625095493)"
13209444,JG422920,09/13/2023 04:09:00 PM,019XX S WABASH AVE,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,COMMERCIAL / BUSINESS OFFICE,False,False,131,1.0,3.0,33.0,26,1177061.0,1890958.0,2023,09/21/2023 03:42:06 PM,41.856128621,-87.625575051,"(41.856128621, -87.625575051)"
6783201,HR196677,11/15/2008 05:30:00 PM,017XX N DAMEN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1434,14.0,32.0,24.0,05,1162756.0,1911387.0,2008,02/28/2018 03:56:25 PM,41.912499075,-87.67750843,"(41.912499075, -87.67750843)"
9118880,HW263868,05/07/2013 10:45:00 AM,0000X W 79TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,623,6.0,6.0,44.0,11,1177483.0,1852629.0,2013,02/10/2018 03:50:01 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
8949084,HV621426,12/30/2012 12:27:00 AM,033XX W MAYPOLE AVE,0460,BATTERY,SIMPLE,CHA APARTMENT,True,False,1123,11.0,28.0,27.0,08B,1154061.0,1900783.0,2012,02/10/2018 03:50:01 PM,41.883578698,-87.709734846,"(41.883578698, -87.709734846)"
11459933,JB453080,09/27/2018 01:15:00 PM,014XX W ESTES AVE,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,2423,24.0,49.0,1.0,08B,1165366.0,1947502.0,2018,10/04/2018 04:18:00 PM,42.011544945,-87.666888079,"(42.011544945, -87.666888079)"
11474525,JB472474,10/12/2018 09:30:00 AM,011XX W WAVELAND AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,RESIDENCE,True,False,1923,19.0,44.0,6.0,11,1167829.0,1924720.0,2018,10/19/2018 04:14:41 PM,41.94897755,-87.658486098,"(41.94897755, -87.658486098)"
5005449,HM615120,09/21/2006 05:25:00 PM,113XX S AVENUE O,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,False,433,4.0,10.0,52.0,08A,1200906.0,1830429.0,2006,02/28/2018 03:56:25 PM,41.689461129,-87.540103147,"(41.689461129, -87.540103147)"
6269538,HP356868,05/26/2008 05:01:37 AM,083XX S MACKINAW AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,True,True,424,4.0,10.0,46.0,04B,1199920.0,1850348.0,2008,02/28/2018 03:56:25 PM,41.744145372,-87.543043436,"(41.744145372, -87.543043436)"
7124495,HR533578,09/12/2009 11:35:00 AM,007XX E 78TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,624,6.0,6.0,69.0,07,1182687.0,1853457.0,2009,02/28/2018 03:56:25 PM,41.753093759,-87.606089745,"(41.753093759, -87.606089745)"
7542736,HS346478,06/07/2010 12:23:00 AM,037XX W ADDISON ST,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,1732,17.0,30.0,16.0,06,1150919.0,1923677.0,2010,02/10/2018 03:50:01 PM,41.946464013,-87.720672053,"(41.946464013, -87.720672053)"
